time_step,reward,cumulative_reward,grid_import_kwh,cumulative_grid_import_kwh
0,-5.0835114732876265,-5.0835114732876265,2.033644199371338,2.033644199371338
1,-2.0611406573487785,-7.1446521306364055,0.8462807536125183,2.879924952983856
2,-1.8403457266773935,-8.984997857313799,0.7249863147735596,3.6049112677574158
3,-1.73642002373698,-10.721417881050778,0.6327978372573853,4.237709105014801
4,-1.653488299193077,-12.374906180243855,0.6071555614471436,4.844864666461945
5,-2.800681965253034,-15.175588145496889,1.00062894821167,5.8454936146736145
6,-3.60785219651159,-18.78344034200848,1.607621669769287,7.453115284442902
7,-1.2515150991666206,-20.0349554411751,0.5342340469360352,7.987349331378937
8,-10.96192855965901,-30.996884000834108,4.653266429901123,12.64061576128006
9,-0.9377658884769744,-31.934649889311082,0.48263463377952576,13.123250395059586
10,0.0,-31.934649889311082,0.0,13.123250395059586
11,-3.477068711002812,-35.4117186003139,1.8172708749771118,14.940521270036697
12,-0.5160472864948759,-35.92776588680877,0.26597872376441956,15.206499993801117
13,0.0,-35.92776588680877,0.0,15.206499993801117
14,0.0,-35.92776588680877,0.0,15.206499993801117
15,-0.2960687176437915,-36.22383460445256,0.16432055830955505,15.370820552110672
16,0.0,-36.22383460445256,0.0,15.370820552110672
17,-0.3622498686268121,-36.586084473079374,0.1799376904964447,15.550758242607117
18,-1.0536089319946276,-37.639693405074,0.4625154137611389,16.013273656368256
19,-2.496816599089743,-40.13651000416374,1.0769085884094238,17.09018224477768
20,-1.0018002038112115,-41.13831020797495,0.5288646817207336,17.619046926498413
21,-1.9259635702531037,-43.064273778228056,0.9365671873092651,18.555614113807678
22,-0.830180382839247,-43.8944541610673,0.4215100109577179,18.977124124765396
23,-0.7232364716394954,-44.6176906327068,0.3560788035392761,19.333202928304672
24,-0.7390722553396245,-45.35676288804642,0.35421058535575867,19.68741351366043
25,-0.7799506033362794,-46.1367134913827,0.3527388870716095,20.04015240073204
26,-0.7708536664134613,-46.90756715779616,0.3514370918273926,20.391589492559433
27,-0.8053924084576067,-47.712959566253765,0.35007867217063904,20.741668164730072
28,-3.6554117875083723,-51.368371353762136,1.3546943664550781,22.09636253118515
29,-3.9335547882254867,-55.30192614198762,1.3658525943756104,23.46221512556076
30,-3.737669239952584,-59.0395953819402,1.3301458358764648,24.792360961437225
31,-0.21070543777600503,-59.25030081971621,0.07796920090913773,24.870330162346363
32,0.0,-59.25030081971621,0.0,24.870330162346363
33,0.0,-59.25030081971621,0.0,24.870330162346363
34,-0.14428713764862405,-59.394587957364834,0.06265433132648468,24.932984493672848
35,-0.7574162890341918,-60.152004246399024,0.3224653899669647,25.255449883639812
36,-10.43977825197876,-70.59178249837778,4.797369956970215,30.052819840610027
37,-4.20086382350919,-74.79264632188698,1.7521350383758545,31.804954878985882
38,0.0,-74.79264632188698,0.0,31.804954878985882
39,0.0,-74.79264632188698,0.0,31.804954878985882
40,-0.696907318456789,-75.48955364034377,0.447745680809021,32.2527005597949
41,0.0,-75.48955364034377,0.0,32.2527005597949
42,-2.092165058395221,-77.581718698739,1.109107494354248,33.36180805414915
43,-1.6390352263364092,-79.2207539250754,0.7583456039428711,34.12015365809202
44,-5.03296730015045,-84.25372122522585,2.2908387184143066,36.41099237650633
45,-1.326876532432607,-85.58059775765845,0.6353296637535095,37.04632204025984
46,-1.2133138141730646,-86.79391157183152,0.5435421466827393,37.58986418694258
47,-0.8363374353164147,-87.63024900714792,0.37498530745506287,37.96484949439764
48,-0.6692597933880127,-88.29950880053593,0.35421058535575867,38.3190600797534
49,-0.670666237485769,-88.97017503802171,0.3527388870716095,38.67179896682501
50,-0.6693254368012845,-89.639500474823,0.3514370918273926,39.0232360586524
51,-0.6704313562298997,-90.3099318310529,0.3348560631275177,39.35809212177992
52,-0.8323693878066932,-91.14230121885959,0.34860697388648987,39.70669909566641
53,-0.8150610962892473,-91.95736231514883,0.3487769067287445,40.05547600239515
54,-0.6600328482710135,-92.61739516341984,0.30258339643478394,40.35805939882994
55,-1.145380938734049,-93.7627761021539,0.5197288393974304,40.87778823822737
56,-1.8556538044246698,-95.61842990657857,0.794775664806366,41.67256390303373
57,0.0,-95.61842990657857,0.0,41.67256390303373
58,0.0,-95.61842990657857,0.0,41.67256390303373
59,0.0,-95.61842990657857,0.0,41.67256390303373
60,0.0,-95.61842990657857,0.0,41.67256390303373
61,0.0,-95.61842990657857,0.0,41.67256390303373
62,0.0,-95.61842990657857,0.0,41.67256390303373
63,-2.8936464757998692,-98.51207638237844,1.561369776725769,43.2339336797595
64,-1.547668643170387,-100.05974502554882,0.9007319211959839,44.134665600955486
65,-0.2577504882591555,-100.31749551380798,0.14395681023597717,44.27862241119146
66,-1.9331102965409928,-102.25060581034897,0.9867361783981323,45.265358589589596
67,-1.7129122947486848,-103.96351810509766,0.8331621885299683,46.098520778119564
68,-1.2464272489973534,-105.20994535409501,0.6107575297355652,46.70927830785513
69,-1.3018475613262126,-106.51179291542122,0.6353296637535095,47.34460797160864
70,-1.0440755954210488,-107.55586851084227,0.48252609372138977,47.82713406533003
71,-1.732333984820775,-109.28820249566304,0.8712420463562012,48.69837611168623
72,-0.7336848387919114,-110.02188733445496,0.3594680726528168,49.05784418433905
73,-0.6945108027411379,-110.7163981371961,0.3527388870716095,49.410583071410656
74,-0.737514615490225,-111.45391275268632,0.3514370918273926,49.76202016323805
75,-0.7335752654395643,-112.18748801812589,0.3348560631275177,50.096876226365566
76,-0.7568181168964202,-112.94430613502232,0.34860697388648987,50.445483200252056
77,-2.609338814191953,-115.55364494921427,1.3677350282669067,51.81321822851896
78,-0.6791773918594685,-116.23282234107374,0.3598918616771698,52.17311009019613
79,-0.9570463964227733,-117.18986873749651,0.500566840171814,52.67367693036795
80,-0.2766772219806957,-117.4665459594772,0.14558805525302887,52.819264985620975
81,0.0,-117.4665459594772,0.0,52.819264985620975
82,-0.16990781523161616,-117.63645377470881,0.10277063399553299,52.92203561961651
83,0.0,-117.63645377470881,0.0,52.92203561961651
84,0.0,-117.63645377470881,0.0,52.92203561961651
85,0.0,-117.63645377470881,0.0,52.92203561961651
86,0.0,-117.63645377470881,0.0,52.92203561961651
