episode,episode_reward,epsilon
1,-6603.851974084042,0.9704455335485082
2,-6795.392982454854,0.9417645335842487
3,-6341.008304102812,0.9139311852712282
4,-6286.206100921321,0.8869204367171575
5,-5961.460541228298,0.8607079764250578
6,-5599.156365267234,0.835270211411272
7,-5743.9907974167145,0.8105842459701871
8,-5699.9540618755855,0.7866278610665535
9,-5648.0860541260045,0.7633794943368531
10,-5556.919820599345,0.7408182206817179
11,-5773.873146452534,0.7189237334319262
12,-5436.771317276027,0.697676326071031
13,-5455.744064105209,0.6770568744981647
14,-5404.184957861202,0.6570468198150567
15,-5219.2444779668,0.6376281516217733
16,-5041.239680167753,0.6187833918061408
17,-4622.596735300176,0.6004955788122659
18,-4345.758397720754,0.5827482523739896
19,-4411.9296164333355,0.5655254386995371
20,-4195.3295773640275,0.5488116360940265
21,-4119.133242372365,0.5325918010068972
22,-4285.535039619659,0.5168513344916993
23,-4618.252685699903,0.5015760690660556
24,-4718.393324332486,0.4867522559599717
25,-4897.283825338905,0.4723665527410147
26,-4830.718114146264,0.4584060113052235
27,-5065.239177457755,0.44485806622294116
28,-4477.5154178200755,0.43171052342907973
29,-4517.620317237568,0.418951549247639
30,-4198.820834388025,0.35
31,-3806.8511150302365,0.39455371037160114
32,-4066.4405802297115,0.38289288597511206
33,-3678.3874889423605,0.3715766910220457
34,-4175.2568542260415,0.3605949401730783
35,-4156.472552278283,0.3499377491111553
36,-4462.773985257081,0.3395955256449391
37,-4538.464959083358,0.3295589610751891
38,-4282.075883586891,0.31981902181630395
39,-3863.5254778594244,0.31036694126548503
40,-3879.521905704867,0.30119421191220214
41,-3643.210627843131,0.2922925776808594
42,-3360.7620885336887,0.2836540264997704
43,-3133.8355309898034,0.27527078308975234
44,-3067.1136431227787,0.2671353019658504
45,-2863.5969506572,0.25924026064589156
46,-3456.7074339587125,0.2515785530597565
47,-3613.993139973725,0.2441432831534371
48,-3964.2795452746795,0.23692775868212176
49,-4253.234811701346,0.22992548518672384
50,-4404.314135715424,0.22313016014842982
